Prog1__A3sg,6231452256127719.0,1061,2850
Inf1→Noun__A3sg,6231454985835703.0,368,2850
Neg__Aor,1.3144759827028524e+16,143,399
Neg__A3pl,1.370968374586832e+16,143,249
Aor__A3pl,1.3709683747187614e+16,399,249
PastPart→Adj__P1sg,1.4417082694103816e+16,102,67
Past__A3pl,1.370968373925185e+16,2041,249
Past__A1sg,1.138318341653402e+16,2041,898
Neg__A1sg,1.1383184384089586e+16,143,898
Aor__A1sg,1.1383184417906006e+16,399,898
Past__A3sg,6231443241053060.0,2041,2850
Neg__Fut,1.4204684474634898e+16,143,121
Neg__A3sg,6231461319914732.0,143,2850
Fut__A3sg,6231461352408423.0,121,2850
PastPart→Noun__A3sg,6231459695726516.0,179,2850
PastPart→Noun__P2pl,1.4579766468657762e+16,179,26
A3sg__P2pl,1.4579766468657936e+16,2850,26
Aor__A3sg,6231459159490643.0,399,2850
Past__A1pl,1.37862381194645e+16,2041,229
Pass→Verb__PastPart→Noun,1.3978908818084572e+16,251,179
Pass→Verb__A3sg,6231459744346036.0,251,2850
Pass→Verb__P2sg,1.4532025679260428e+16,251,38
Pass→Verb__Loc,1.4599689081839824e+16,251,21
PastPart→Noun__P2sg,1.453202567918886e+16,179,38
PastPart→Noun__Loc,1.459968908180791e+16,179,21
A3sg__P2sg,1.4532025679174292e+16,2850,38
A3sg__Loc,1.4599689081807422e+16,2850,21
P2sg__Loc,1.4599689081848708e+16,38,21
Able→Verb__FutPart→Adj,1.462361982260527e+16,106,15
Able→Verb__P3sg,1.4306686059147774e+16,106,95
FutPart→Adj__P3sg,1.4306686059078494e+16,15,95
Able→Verb__FutPart→Noun,1.463160335808521e+16,106,13
Able→Verb__A3sg,6231461498614644.0,106,2850
Able→Verb__P1pl,1.442103533195245e+16,106,66
FutPart→Noun__A3sg,6231462115865769.0,13,2850
FutPart→Noun__P1pl,1.4421035331953784e+16,13,66
A3sg__P1pl,1.4421035331672432e+16,2850,66
Aor__While→Adv,1.424385268269723e+16,399,111
Pass→Verb__Imp,1.4547925876794096e+16,251,34
Pass→Verb__A2sg,1.403706310621308e+16,251,164
Imp__A2sg,1.4037063106191732e+16,34,164
PastPart→Noun__P3sg,1.4306686058138476e+16,179,95
A3sg__P3sg,1.4306686057811696e+16,2850,95
Inf2→Noun__A3sg,6231461173827729.0,69,2850
Inf2→Noun__Dat,1.4508194063836282e+16,69,44
A3sg__Dat,1.4508194063760744e+16,2850,44
Prog1__A3pl,1.3709683735907576e+16,1061,249
Narr__Past,8030430157401476.0,277,2041
Narr__A1sg,1.138318443242516e+16,277,898
Opt__A1pl,1.3786238119896922e+16,70,229
Prog1__A2sg,1.4037063103555356e+16,1061,164
Narr__A3sg,6231458980968090.0,277,2850
PastPart→Adj__P3sg,1.4306686058908656e+16,102,95
PastPart→Noun__P1pl,1.4421035331672232e+16,179,66
Prog1__A1sg,1.1383184119574814e+16,1061,898
Neg__Desr,1.4456648730385414e+16,143,57
Desr__A3sg,6231462050851208.0,57,2850
Aor__Cond,1.4500257290288212e+16,399,46
Aor__A2sg,1.4037063106564216e+16,399,164
Cond__A2sg,1.4037063106722994e+16,46,164
Pass→Verb__Prog1,1.084698702597934e+16,251,1061
Pass→Verb__Past,8030430423999229.0,251,2041
Prog1__Past,8030429715833151.0,1061,2041
Desr__A1sg,1.138318443082064e+16,57,898
Prog1__A2pl,1.4369700089992218e+16,1061,79
Neg__Past,8030430290736639.0,143,2041
Inf1→Noun__Zero→Verb,1.4334231362849874e+16,368,88
Inf1→Noun__Pres,1.4381538554660636e+16,368,76
Inf1→Noun__Cop,1.4208595960393912e+16,368,120
A3sg__Zero→Verb,1.4334231362823806e+16,2850,88
